title	Type	Label	Cost Normal	Cost Hyper	Cost Another	SP DJ Points	DP DJ Points	SPB Unlocked	SPB Rating	SPB Lamp	SPB Letter	SPB EX Score	SPB Miss Count	SPB Note Count	SPB DJ Points	SPN Unlocked	SPN Rating	SPN Lamp	SPN Letter	SPN EX Score	SPN Miss Count	SPN Note Count	SPN DJ Points	SPH Unlocked	SPH Rating	SPH Lamp	SPH Letter	SPH EX Score	SPH Miss Count	SPH Note Count	SPH DJ Points	SPA Unlocked	SPA Rating	SPA Lamp	SPA Letter	SPA EX Score	SPA Miss Count	SPA Note Count	SPA DJ Points	SPL Unlocked	SPL Rating	SPL Lamp	SPL Letter	SPL EX Score	SPL Miss Count	SPL Note Count	SPL DJ Points	DPN Unlocked	DPN Rating	DPN Lamp	DPN Letter	DPN EX Score	DPN Miss Count	DPN Note Count	DPN DJ Points	DPH Unlocked	DPH Rating	DPH Lamp	DPH Letter	DPH EX Score	DPH Miss Count	DPH Note Count	DPH DJ Points	DPA Unlocked	DPA Rating	DPA Lamp	DPA Letter	DPA EX Score	DPA Miss Count	DPA Note Count	DPA DJ Points	DPL Unlocked	DPL Rating	DPL Lamp	DPL Letter	DPL EX Score	DPL Miss Count	DPL Note Count	DPL DJ Points
5.1.1.	Base	Base	0	0	0	22.62	23.16									FALSE	2	FC	AAA	192	0	99		FALSE	6	FC	AAA	990	0	511		TRUE	10	FC	AAA	1508	0	786	2.26200000E+001									FALSE	1	FC	AAA	191	0	99		FALSE	7	NP	F	0	-	511		TRUE	10	FC	AAA	1544	2	796	2.31600000E+001									
GRADIUSIC CYBER	Bits	Bits	4500	7500	8000	17.28	16.2835									FALSE	5	NP	F	0	-	442		FALSE	6	NP	F	0	-	508		TRUE	7	FC	AAA	1152	0	609	1.72800000E+001									FALSE	4	NP	F	0	-	409		FALSE	9	NP	F	0	-	556		TRUE	9	EX	AAA	1123	1	631	1.62835000E+001									
R3	Bits	Bits	4000	5500	7000	13.065	12.3975									FALSE	4	NP	F	0	-	330		FALSE	5	NP	F	0	-	368		TRUE	6	FC	AAA	871	0	454	1.30650000E+001									FALSE	4	NP	F	0	-	384		FALSE	6	NP	F	0	-	392		TRUE	8	EX	AAA	855	4	475	1.23975000E+001									
THE EARTH LIGHT	Bits	Bits	4500	8500	7500	16.065	16.7265									FALSE	4	NP	F	0	-	398		FALSE	7	FC	AAA	1001	1	530		TRUE	8	FC	AAA	1071	4	581	1.60650000E+001									FALSE	5	NP	F	0	-	456		FALSE	10	HC	AA	1239	19	718	1.67265000E+001	TRUE	7	EX	AA	982	9	581										
GAMBOL	Base	Base	0	0		4.035	3.975									FALSE	2	FC	AAA	269	0	137	4.03500000E+000	FALSE	2	FC	AAA	265	0	137																		FALSE	2	FC	AAA	263	0	137		FALSE	2	FC	AAA	265	0	137	3.97500000E+000																	
GENOM SCREAMS	Bits	Bits	3000	6000	9000	15.285	14.565									FALSE	3	NP	F	0	-	211		FALSE	6	NP	F	0	-	417		TRUE	9	FC	AAA	1019	0	536	1.52850000E+001									FALSE	3	NP	F	0	-	211		FALSE	6	NP	F	0	-	417		TRUE	9	FC	AAA	971	1	538	1.45650000E+001									
22DUNK	Bits	Bits	4000	4500	5000	9.48	8.6275									FALSE	3	NP	F	0	-	265		FALSE	4	NP	F	0	-	323		TRUE	5	FC	AAA	632	0	329	9.48000000E+000									FALSE	5	NP	F	0	-	333		FALSE	5	EX	AA	589	4	334		TRUE	5	EX	AAA	595	7	329	8.62750000E+000									
BRILLIANT 2U	Bits	Bits	3000	4500	2000	10.605	10.245									FALSE	3	NP	F	0	-	270		FALSE	4	NP	F	0	-	330		TRUE	4	FC	AAA	707	0	362	1.06050000E+001									FALSE	3	NP	F	0	-	288		FALSE	5	FC	AAA	683	1	363	1.02450000E+001																	
deep in you	Bits	Bits	3500	4000	6000	9.615	8.96									FALSE	4	NP	F	0	-	250		FALSE	4	NP	F	0	-	255		TRUE	5	FC	AAA	641	0	333	9.61500000E+000									FALSE	3	NP	F	0	-	283		FALSE	4	NP	F	0	-	293		TRUE	7	EX	AA	640	4	364	8.96000000E+000									
KEEP ON MOVIN'	Base	Base	0	0		3.6	3.525									FALSE	2	FC	AAA	190	0	98		FALSE	3	FC	AAA	240	0	122	3.60000000E+000																	FALSE	2	NP	F	0	-	119		FALSE	3	FC	AAA	235	0	122	3.52500000E+000																	
